Coursename,Coursecode,Hours,Classification
Advanced Macroeconomics,ECO 350L,3,Upper Division
Current Issues in Business Economics,ECO 351K,3,Upper Division
Managerial Economics,ECO 351M,3,Upper Division
Economic Principles of Managerial Decisions,ECO 351N,3,Upper Division
Business Strategy,ECO 352K,3,Upper Division
Economics of Entrepreneurship,ECO 352R,3,Upper Division
Antitrust Law and Economics,ECO 353K,3,Upper Division
Empirical Public Economics,ECO 353M,3,Upper Division
Introductory Game Theory,ECO 354K,3,Upper Division
Experimental Economics,ECO 354M,3,Upper Division
Development Problems and Policies in Latin America,ECO 355,3,Upper Division
Supervised Research,ECO 358R,3,Upper Division
Environmental and Natural Resource Economics,ECO 359M,3,Upper Division
Artificial Intelligence and Public Policy,ECO 361S,3,Upper Division
Computational Economics,ECO 363C,3,Upper Division
Monetary Economics,ECO 367R,3,Upper Division
Survey of the History of Economic Thought,ECO 368,3,Upper Division
Financial Economics,ECO 369F,3,Upper Division
"Economics of Gender, Race, and Ethnicity",ECO 370E,3,Upper Division
Behavioral Economics,ECO 370M,3,Upper Division
Social Economics: Outside the Market,ECO 371M,3,Upper Division
Personnel Economics,ECO 376N,3,Upper Division
Honors Tutorial Course I,ECO 378H,3,Upper Division
Individual Conference Course,ECO 379C,3,Upper Division
Internship in Economics,ECO 379E,3,Upper Division
Honors Tutorial Course II,ECO 379H,3,Upper Division
Research Course,"ECO 180, 380, 680, 980","1, 3, 6, 9",Graduate
Internship in Economics,"ECO 180P, 380P","1, 3",Graduate
Regional Economics,ECO 380M,3,Graduate
Urban Economics,ECO 380N,3,Graduate
Seminar in Money and Banking,ECO 381K,3,Graduate
Seminar in General Economic History,ECO 383K,3,Graduate
Topics in Seminar in International Economics,ECO 384G,3,Graduate
Topics in Seminar in Public Finance,ECO 384H,3,Graduate
Topics in Seminar in Development Economics,ECO 384J,3,Graduate
Topics in Industrial Organization,ECO 384K,3,Graduate
Topics in Resource Economics,ECO 384N,3,Graduate
Probability and Statistics,ECO 385C,3,Graduate
Mathematics for Economists,ECO 385D,3,Graduate
Topics in Labor Economics,ECO 385K,3,Graduate
Microeconomics I,ECO 386C,3,Graduate
Microeconomics II,ECO 386D,3,Graduate
Topics in Seminar in Advanced Microeconomics,ECO 386E,3,Graduate
Macroeconomics I,ECO 387C,3,Graduate
Macroeconomics II,ECO 387D,3,Graduate
Topics in Seminar in Advanced Macroeconomics,ECO 387E,3,Graduate
Monetary Theory,ECO 387K,3,Graduate
Writing Seminar in Economics,ECO 387M,3,Graduate
Survey of Fields in Economics,ECO 187N,1,Graduate
Econometrics I,ECO 388C,3,Graduate
Econometrics II,ECO 388D,3,Graduate
Topics in Seminar in Advanced Econometrics,ECO 388E,3,Graduate
Seminar in the History of Economic Thought,ECO 390L,3,Graduate
Quantitative Methods in Economics,ECO 492L,4,Graduate
Seminar in Industrial Organization,ECO 393,3,Graduate
Mathematics for Economists,ECO 394C,3,Graduate
Probability and Statistics,ECO 394D,3,Graduate
Microeconomics,ECO 394K,3,Graduate
Macroeconomics,ECO 394L,3,Graduate
Econometrics,ECO 394M,3,Graduate
Topics and Applications in Microeconomics,ECO 395K,3,Graduate
Topics and Applications in Macroeconomics,ECO 395L,3,Graduate
Topics and Applications in Quantitative Methods,ECO 395M,3,Graduate
Studies in Economic History,ECO 396,3,Graduate
Seminar in International Economic Problems,ECO 397,3,Graduate
Specialized Topics in Microeconomics,ECO 297K,2,Graduate
Specialized Topics in Macroeconomics,ECO 297L,2,Graduate
Specialized Topics in Quantitative Methods,ECO 297M,2,Graduate
Thesis,ECO 698,6,Graduate
Specialized Topics in Microeconomics,ECO 198K,1,Graduate
Specialized Topics in Macroeconomics,ECO 198L,1,Graduate
Specialized Topics in Quantitative Methods,ECO 198M,1,Graduate
Supervised Teaching in Economics,ECO 398T,3,Graduate
Dissertation,"ECO 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 330
DegreeView
