Coursename,Coursecode,Hours,Classification
Philosophy of Sport and Physical Activity,KIN 351,3,Upper Division
Topics in Human Movement Studies,KIN 352K,3,Upper Division
Women and Sport,KIN 352L,3,Upper Division
"Sport, Fitness, and Mass Media",KIN 352M,3,Upper Division
History of Physical Culture,KIN 352N,3,Upper Division
Sport Law,KIN 353,3,Upper Division
Sport and Event Marketing,KIN 354,3,Upper Division
Media and Public Relations in Sport,KIN 355,3,Upper Division
Revenue and Budgeting in Sport,KIN 356,3,Upper Division
Strategic Management of Sport Organizations,KIN 357,3,Upper Division
Programming for People with Disabilities,KIN 360,3,Upper Division
Coaching Theory and Principles I,KIN 361,3,Upper Division
Coaching Theory and Principles II,KIN 362,3,Upper Division
Theory and Practice in Strength Coaching,KIN 363,3,Upper Division
Aquatic Facility Operator: Management and Administration,KIN 364,3,Upper Division
The Business of Golf,KIN 365,3,Upper Division
Adapted Fitness and Recreation,KIN 366R,3,Upper Division
Sport and Disability,KIN 367S,3,Upper Division
"Perspectives in Assistive Devices, Products and Technology",KIN 368T,3,Upper Division
Topics in Health Promotion: Seminar,KIN 370K,3,Upper Division
Issues and Trends in Developmental Movement Programs,KIN 375,3,Upper Division
Measurement in Kinesiology,KIN 376,3,Upper Division
Topics in Fieldwork in Health,"KIN 178, 278, 378, 678","1, 2, 3, 6",Upper Division
Honors Tutorial Course,KIN 379H,3,Upper Division
Topics in Conference- Laboratory,KIN 382,3,Graduate
Topics in Research Methodologies,KIN 386,3,Graduate
Topics in Advanced Studies,KIN 395,3,Graduate
Neurological Rehabilitation,KIN 395D,3,Graduate
Doctoral Seminar,"KIN 196, 396","1, 3",Graduate
Directed Research,"KIN 296T, 396T","2, 3",Graduate
Research Problems,"KIN 197, 397","1, 3",Graduate
Movement and Cognitive Rehabilitation Science Seminar,"KIN 197C, 397C","1, 3",Graduate
Graduate Internship,"KIN 197P, 397P, 697P","1, 3, 6",Graduate
Thesis,KIN 698,6,Graduate
Master's Report,KIN 398R,3,Graduate
Dissertation,"KIN 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 292
DegreeView
