Coursename,Coursecode,Hours,Classification
Software Architectures,ECE 361M,3,Upper Division
Information Security and Privacy,ECE 361N,3,Upper Division
Data Science Principles,ECE 461P,4,Upper Division
Requirements Engineering,ECE 361Q,3,Upper Division
Radio-Frequency Electronics,ECE 361R,3,Upper Division
Operating Systems,ECE 461S,4,Upper Division
Smart Grids,ECE 362G,3,Upper Division
Introduction to Automatic Control,ECE 362K,3,Upper Division
Power Electronics Laboratory,ECE 462L,4,Upper Division
Power Electronics II,ECE 362M,3,Upper Division
Power Quality and Harmonics,ECE 362Q,3,Upper Division
Renewable Energy and Power Systems,ECE 362R,3,Upper Division
Development of a Solar-Powered Vehicle,ECE 362S,3,Upper Division
Microwave and Radio Frequency Engineering,ECE 363M,3,Upper Division
Engineering Acoustics,ECE 363N,3,Upper Division
Corporate Senior Design Project,ECE 464C,4,Upper Division
Introduction to Engineering Design,ECE 364D,3,Upper Division
Interdisciplinary Entrepreneurship,ECE 364E,3,Upper Division
Multidisciplinary Senior Design Project,ECE 464G,4,Upper Division
Honors Senior Design Project,ECE 464H,4,Upper Division
Senior Design Project,ECE 464K,4,Upper Division
Research Senior Design Project,ECE 464R,4,Upper Division
Start-Up Senior Design Project,ECE 464S,4,Upper Division
Engineering Economics I,ECE 366,3,Upper Division
Engineering Economics II,ECE 366K,3,Upper Division
Statistics for Manufacturing,ECE 366L,3,Upper Division
Power Systems Apparatus and Laboratory,"ECE 368L, 468L","3, 4",Upper Division
Power Systems Engineering,ECE 369,3,Upper Division
Relay Protection of Power Systems,ECE 369L,3,Upper Division
Automatic Control II,ECE 370,3,Upper Division
Computer Control Systems,ECE 370K,3,Upper Division
Introduction to Manufacturing Systems Automation,ECE 370L,3,Upper Division
Introduction to Robotics and Mechatronics,ECE 370N,3,Upper Division
Wireless Communications Laboratory,ECE 471C,4,Upper Division
Introduction to Neural Networks,ECE 371D,3,Upper Division
Communication Systems,ECE 371M,3,Upper Division
Introduction to Computer Vision,ECE 371P,3,Upper Division
Digital Image Processing,ECE 371Q,3,Upper Division
Network Engineering Laboratory,ECE 472L,4,Upper Division
Telecommunication Networks,ECE 372N,3,Upper Division
Cryptography and Network Security,ECE 372S,3,Upper Division
Biomedical Electronic Instrument Design,ECE 374K,3,Upper Division
Applications of Biomedical Engineering,ECE 374L,3,Upper Division
Neural Engineering,ECE 374N,3,Upper Division
Undergraduate Honors Thesis,ECE 679H,6,Upper Division
Topics in Electrical Engineering,"ECE 179K, 279K, 379K, 479K","1, 2, 3, 4",Upper Division
Introduction to Optimization,ECE 380C,3,Graduate
Introduction to System Theory,ECE 380K,3,Graduate
Topics in Computer Systems in Engineering,ECE 380L,3,Graduate
Topics in System Theory,ECE 380N,3,Graduate
Verification and Validation,ECE 381C,3,Graduate
Probability and Stochastic Processes I,ECE 381J,3,Graduate
"Topics in Decision, Information, and Communications Engineering",ECE 381K,3,Graduate
Digital Time Series Analysis and Applications,ECE 381L,3,Graduate
Probability and Stochastic Processes II,ECE 381M,3,Graduate
Space-Time Communication,ECE 381S,3,Graduate
"Topics in Communications, Networks, and Systems",ECE 381V,3,Graduate
Topics in Software Engineering and Systems,ECE 382C,3,Graduate
Topics in Theory of Digital Systems,ECE 382L,3,Graduate
Topics in Integrated Circuits and Systems,ECE 382M,3,Graduate
"Topics in Architecture, Computer Systems, and Embedded Systems",ECE 382N,3,Graduate
Topics in Computer Engineering,ECE 382V,3,Graduate
Electromagnetic Field Theory,ECE 383L,3,Graduate
Microwave Field Theory,ECE 383M,3,Graduate
Theory of Electromagnetic Fields: Electrodynamics,ECE 383N,3,Graduate
Topics in Optical Processing and Laser Communications,ECE 383P,3,Graduate
Topics in Electromagnetics,ECE 383V,3,Graduate
Topics in Acoustics,ECE 384N,3,Graduate
Topics in Biomedical Engineering,ECE 385J,3,Graduate
Software Architecture,ECE 386C,3,Graduate
Statistical Methods in Engineering and Quality Assurance,ECE 390C,3,Graduate
Topics in Manufacturing Systems Engineering,ECE 390V,3,Graduate
Technical Entrepreneurship,ECE 391C,3,Graduate
Software Testing,ECE 392C,3,Graduate
Antenna Theory and Practice,ECE 392K,3,Graduate
Computational Electromagnetics,ECE 392L,3,Graduate
Principles of Radar,ECE 392N,3,Graduate
Topics in Plasma Dynamics,ECE 393C,3,Graduate
Topics in Power System Engineering,ECE 394,3,Graduate
Topics in Energy Systems,ECE 394J,3,Graduate
Power Systems Apparatus and Laboratory,ECE 394L,3,Graduate
Topics in Solid-State Device Theory,ECE 396K,3,Graduate
Topics in Quantum Electronics,ECE 396M,3,Graduate
Topics in Nanotechnology,ECE 396N,3,Graduate
Topics in Solid-State Electronics,ECE 396V,3,Graduate
Research Problems,"ECE 197C, 297C, 397C, 697C, 997C","1, 2, 3, 6, 9",Graduate
Research Problems,"ECE 197G, 297G, 397G, 697G, 997G","1, 2, 3, 6, 9",Graduate
Advanced Topics in Electrical Engineering,ECE 397K,3,Graduate
Graduate Research Internship,"ECE 197M, 297M, 397M","1, 2, 3",Graduate
Conference Course,ECE 397N,3,Graduate
Graduate Seminar in Electrical Engineering,"ECE 197S, 297S, 397S","1, 2, 3",Graduate
Thesis,ECE 698,6,Graduate
Master's Report,ECE 398R,3,Graduate
Supervised Teaching in Electrical Engineering,ECE 398T,3,Graduate
Dissertation,"ECE 399W, 499W, 599W, 699W, 799W, 899W, 999W","3, 4, 5, 6, 7, 8, 9",Graduate
,,Total Hours: 499
DegreeView
