Coursename,Coursecode,Hours,Classification
Nursing Care of Childbearing and Childrearing Families Practicum,N 384J,3,Graduate
Genomic Applications in Nursing,N 284N,2,Graduate
Aging and Disability,N 284P,2,Graduate
Adult Health Nursing II,N 484R,4,Graduate
Integration of Clinical Nursing Knowledge,N 484S,4,Graduate
Professional Nursing Management,N 284T,2,Graduate
End-of-Life Communication and Decision-Making,N 385E,3,Graduate
Community Mental Health and Wellness,N 385R,3,Graduate
Advanced Theory and Research in Mental Health,N 385S,3,Graduate
Computers in Nursing,N 386C,3,Graduate
Evidence-Based Practice and Outcomes in Health Care,N 386E,3,Graduate
Budget and Finance in Health Care,N 386F,3,Graduate
Overview of Healthcare System,N 386H,3,Graduate
Administrative Decision Making in Nursing Systems,N 386M,3,Graduate
Practicum in Administrative Decision Making,N 386P,3,Graduate
Quality and Safety in Healthcare,N 386Q,3,Graduate
Nursing Systems: Theory and Research,N 386R,3,Graduate
Health Care Systems Outcomes,N 386S,3,Graduate
Internship in Administration of Nursing Systems,N 686V,6,Graduate
Foundations of Health Care Finance,N 386W,3,Graduate
Best Practices in Clinical Teaching,N 387,3,Graduate
Conceptual Foundations of Nursing Education,N 387C,3,Graduate
Psychiatric-Mental Health Nursing,N 287G,2,Graduate
Child Health Nursing,N 287H,2,Graduate
Leading and Managing in Complex Healthcare Systems,N 387K,3,Graduate
Practicum in Nursing Education,"N 287P, 387P, 487P, 587P, 687P","2, 3, 4, 5, 6",Graduate
Public Health Nursing,N 287Q,2,Graduate
Adult Health Nursing II,N 387R,3,Graduate
Integration of Nursing Knowledge,N 187S,1,Graduate
Perinatal Nursing,N 287T,2,Graduate
Strategies of Teaching in Nursing,N 388,3,Graduate
Adult-Gerontology Clinical Nurse Specialist: Role Dimensions,N 389C,3,Graduate
Adult-Gerontology Clinical Nurse Specialist: Health Promotion and Illness Prevention,N 389D,3,Graduate
Adult-Gerontology Clinical Nurse Specialist: Chronic Illness,"N 489E, 589E","4, 5",Graduate
Adult-Gerontology Clinical Nurse Specialist: Acute Care,"N 389F, 489F","3, 4",Graduate
Diagnosis and Management of Adult-Gerontology Health Problems,N 489H,4,Graduate
Adult Health Nursing: Health Promotion and Risk Reduction,N 389J,3,Graduate
Adult Health Nursing: Chronic and Disabling Conditions,N 389K,3,Graduate
Adult Health Nursing: Practicum in Adult Health,N 389L,3,Graduate
Adult-Gerontology CNS: Practicum I,N 389M,3,Graduate
Adult-Gerontology CNS: Practicum II,N 389N,3,Graduate
Diagnosis and Management of Adult-Gerontology Health Problems,N 389P,3,Graduate
Application of Adult-Gerontology Clinical Nurse Specialist Roles,N 189R,1,Graduate
Health Promotion of High-Risk Populations,N 390C,3,Graduate
Public Health in a Global Context,N 390D,3,Graduate
Global Health and Primary Care in Costa Rica,N 390E,3,Graduate
Adult Health Nursing I Practicum,N 390F,3,Graduate
Psychiatric-Mental Health Nursing Practicum,N 290G,2,Graduate
Child Health Nursing Practicum,N 290H,2,Graduate
Educator as Leader,N 390L,3,Graduate
Teaching and Learning in Practice Settings,N 390M,3,Graduate
Teaching and Learning in Academic Settings,N 390N,3,Graduate
Public Health Nursing Practicum,N 290Q,2,Graduate
Adult Health Nursing II Practicum,N 290R,2,Graduate
Integration of Nursing Knowledge Practicum,N 290S,2,Graduate
Perinatal Nursing Practicum,N 290T,2,Graduate
Foundations of Nursing Education,N 390U,3,Graduate
The Art and Science of Teaching Nursing,N 390V,3,Graduate
Role of the Nurse Educator,N 390W,3,Graduate
Advanced Public Health Nursing: Community and Population Assessment,N 391D,3,Graduate
Public Health Assurance and Policy,N 391E,3,Graduate
Epidemiology in Public Health,N 391F,3,Graduate
Public Health Program Development,N 391G,3,Graduate
Theories and Critical Issues in Public Health,N 391H,3,Graduate
Advanced Public Health Nursing Practice,N 691P,6,Graduate
Health Care Informatics,N 391Q,3,Graduate
"Race, Power, Privilege, and Health",N 391R,3,Graduate
Nursing Phenomena of Concern,N 392,3,Graduate
Applications of Health Care Research,N 392E,3,Graduate
The Art and Science of Family Health,N 392J,3,Graduate
