Coursename,Coursecode,Hours,Classification
Pharmacotherapeutics of the Reproductive System,PHM 189,1,Graduate
Modern Trends in Drug Design,PHM 389E,3,Graduate
Pharmacy Honors Thesis and Tutorial Course,PHM 489H,4,Graduate
Social Media and Consumer Healthcare,PHM 389K,3,Graduate
Fundamentals of Health Innovations,PHM 389M,3,Graduate
Community Service Learning,"PHM 189S, 289S, 389S","1, 2, 3",Graduate
Pharmacotherapeutics of Dermatology and Inflammatory Processes,PHM 190,1,Graduate
Communication Skills for Health Professionals,PHM 390C,3,Graduate
Nutritional Aspects of Clinical Pharmacy,PHM 290D,2,Graduate
"Controlled Substances: Violations, Investigations, and Enforcement",PHM 390E,3,Graduate
Pharmacy Research Honors Proposal,PHM 290H,2,Graduate
Clinical Management of Drug-Drug Interactions,PHM 390K,3,Graduate
Introduction to Nuclear Pharmacy,PHM 290L,2,Graduate
Inpatient Adult Medicine,PHM 290M,2,Graduate
Integrated Basic and Applied Pharmacokinetics,PHM 390N,3,Graduate
Interprofessional Community Service Learning,PHM 390S,3,Graduate
Pharmacy International Exchange,PHM 390T,3,Graduate
Patient Safety,PHM 390V,3,Graduate
Health Leadership,PHM 290W,2,Graduate
Pharmacotherapeutics of Pain and Addiction,PHM 291,2,Graduate
Pharmacy Research Honors Report,PHM 291H,2,Graduate
Pediatric Pharmacotherapy,PHM 291K,2,Graduate
Leadership in Community Service Learning,PHM 191L,1,Graduate
Introduction to Ambulatory Care Pharmacy,PHM 291M,2,Graduate
Foundations for Interprofessional Collaborative Practice I,PHM 191U,1,Graduate
Foundations for Interprofessional Collaborative Practice II,PHM 191V,1,Graduate
Leadership and Advocacy in Pharmacy,PHM 391W,3,Graduate
Pharmacotherapeutics of Psychiatric Disorders,PHM 292,2,Graduate
Herbal and Botanical Supplements,"PHM 292G, 392G","2, 3",Graduate
Pharmacy Research Honors Project,PHM 292H,2,Graduate
Leadership in Community Service Learning II,PHM 192L,1,Graduate
Introduction to Specialty Pharmacy Practice,"PHM 192M, 292M, 392M","1, 2, 3",Graduate
Foundations for Interprofessional Collaborative Practice III,PHM 192U,1,Graduate
Foundations for Interprofessional Collaborative Practice IV,PHM 192V,1,Graduate
Pharmacotherapeutics of Neurologic Disorders,PHM 193,1,Graduate
Ambulatory Care Pharmacy Practice,PHM 693C,6,Graduate
Elective in Pharmacy Practice I,PHM 693E,6,Graduate
Pharmacoeconomics and Pharmacy Management,PHM 393F,3,Graduate
Pharmacy Research Honors Thesis,PHM 293H,2,Graduate
Pharmacy Residency Preparation,PHM 193M,1,Graduate
Advanced Hospital Pharmacy Practice,PHM 693N,6,Graduate
Advanced Community Pharmacy Practice,PHM 693P,6,Graduate
Supplemental Rotation in Pharmacy Practice I,PHM 693R,6,Graduate
Selective in Pharmacy Practice I,PHM 693S,6,Graduate
Foundations for Interprofessional Collaborative Practice V,PHM 193U,1,Graduate
Foundations for Interprofessional Collaborative Practice VI,PHM 193V,1,Graduate
Elective International Pharmacy Experience,PHM 693W,6,Graduate
Pharmacotherapy of Viral and Fungal Infections,PHM 194,1,Graduate
Inpatient General Medicine Pharmacy Practice,PHM 694C,6,Graduate
Elective in Pharmacy Practice II,PHM 694E,6,Graduate
Pharmacoeconomics,PHM 394F,3,Graduate
Supplemental Rotation in Pharmacy Practice II,PHM 694R,6,Graduate
Selective in Pharmacy Practice II,PHM 694S,6,Graduate
Pharmacotherapy of Bacterial Infections,PHM 395,3,Graduate
Elective in Pharmacy Practice III,PHM 695E,6,Graduate
Drug Information and Evidence-Based Practice Laboratory,PHM 195P,1,Graduate
Drug Information and Evidence-Based Practice,"PHM 195Q, 295Q","1, 2",Graduate
Advanced Evidence-Based Practice,PHM 295R,2,Graduate
College Teaching Methodology,PHM 398T,3,Graduate
,,Total Hours: 398
DegreeView
