Coursename,Coursecode,Hours,Classification
Special Studies in Management,"B A 192M, 292M, 392M, 692M","1, 2, 3, 6",Graduate
Special Studies in Management Information Systems,"B A 192N, 292N, 392N, 692N","1, 2, 3, 6",Graduate
Special Studies in Management Information Systems,"B A 192P, 292P, 392P, 692P","1, 2, 3, 6",Graduate
Special Studies in Marketing,"B A 192Q, 292Q, 392Q, 692Q","1, 2, 3, 6",Graduate
Special Studies in Marketing,"B A 192R, 292R, 392R, 692R","1, 2, 3, 6",Graduate
Special Studies in Operations,"B A 192S, 292S, 392S, 692S","1, 2, 3, 6",Graduate
Special Studies in Operations,"B A 192T, 292T, 392T, 692T","1, 2, 3, 6",Graduate
Special Studies in Risk Management,"B A 192U, 292U, 392U, 692U","1, 2, 3, 6",Graduate
Special Studies in Risk Management,"B A 192V, 292V, 392V, 692V","1, 2, 3, 6",Graduate
Written and Oral Communication for International Students,B A 398L,3,Graduate
Master's Report,B A 398R,3,Graduate
Supervised Teaching in Business Administration,B A 398T,3,Graduate
,,Total Hours: 212
DegreeView
