Coursename,Coursecode,Hours,Classification
Topics in Media and Policy,RTF 365C,3,Upper Division
Topics in Introductory Production,RTF 366K,3,Upper Division
Topics in Audio Production,RTF 366S,3,Upper Division
Directing Workshop,RTF 367D,3,Upper Division
Producing Film and Television,RTF 367K,3,Upper Division
Advanced Production Topics,RTF 368,3,Upper Division
Advanced Directing,RTF 368C,3,Upper Division
Advanced Cinematography,RTF 368D,3,Upper Division
Topics in Producing,RTF 368P,3,Upper Division
Topics in Undergraduate Thesis,RTF 368S,3,Upper Division
Topics in Advanced Screenwriting,RTF 369,3,Upper Division
Topics in Advanced Producing,RTF 369P,3,Upper Division
Topics in Film Analysis and Criticism,RTF 370,3,Upper Division
Advanced Topics in Media Studies,RTF 377H,3,Upper Division
Advanced Topics in Media Studies with Screenings,RTF 377S,3,Upper Division
Honors Tutorial Course,RTF 378H,3,Upper Division
Topics in Research Theory and Design,RTF 380,3,Graduate
Screenwriting for Directors,RTF 380C,3,Graduate
Topics in Media Industries,RTF 380D,3,Graduate
Topics in Media History,RTF 380E,3,Graduate
Topics in Research Practices,RTF 380G,3,Graduate
Topics in Theory and Principles of Dramatic Writing,RTF 380J,3,Graduate
Topics in Advanced Screenwriting,RTF 380M,3,Graduate
Screenwriting Topics,RTF 380N,3,Graduate
Production Workshop for Writers,RTF 380P,3,Graduate
Topics in Media History with Screening,RTF 380S,3,Graduate
Principles of Film and Television Production,"RTF 681K, 881K","6, 8",Graduate
Internship in Media Industries,RTF 384I,3,Graduate
Topics in History of Film,RTF 385K,3,Graduate
Topics in Seminar in Film History,RTF 385L,3,Graduate
Topics in Analysis and Criticism of Film and Electronic Media,RTF 386,3,Graduate
Topics in Seminar: Media Theory and Criticism,RTF 386C,3,Graduate
Topics in Communication for Development and Social Change,RTF 387D,3,Graduate
Global Media: Study Abroad,RTF 387W,3,Graduate
Research Problems in Specialized Fields of Radio-Television-Film,"RTF 288, 388, 488","2, 3, 4",Graduate
Research Problems: Doctoral Exam Preparation,"RTF 288C, 388C, 488C","2, 3, 4",Graduate
Research Problems in Specialty Fields of Radio-Television-Film,"RTF 288D, 388D, 488D","2, 3, 4",Graduate
Research Problems in Specialized Fields of Radio-Television-Film,"RTF 288E, 388E, 488E","2, 3, 4",Graduate
Topics in Radio-Television-Film Production,RTF 388F,3,Graduate
Topics in Practicum in Film and Television Production,"RTF 388M, 488M, 688M","3, 4, 6",Graduate
Topics in Film and Video Production,RTF 388P,3,Graduate
Project in a Specialized Field of Radio-Television-Film,RTF 388R,3,Graduate
Research Problems in Specialized Fields of Radio-Television-Film: Production,RTF 388S,3,Graduate
Producing Film and Television,RTF 388T,3,Graduate
Topics in Media and Society,RTF 389,3,Graduate
Topics in History of Broadcasting,RTF 389K,3,Graduate
Topics in Producing,RTF 389P,3,Graduate
Topics in Introduction to Editing Processes,"RTF 390C, 490C","3, 4",Graduate
Topics in Advanced Video Postproduction: Audio,RTF 390E,3,Graduate
Topics in Production Crafts,RTF 390F,3,Graduate
Introduction to Media Aesthetics and Techniques,RTF 390G,3,Graduate
Topics in Issues in New Media,RTF 390N,3,Graduate
Special Topics in Digital Media,RTF 393Q,3,Graduate
Topics in Theory and Literature,RTF 395,3,Graduate
Research Colloquium,RTF 095C,0,Graduate
Portfolio in Media Production,"RTF 196, 296, 396, 496","1, 2, 3, 4",Graduate
Portfolio in Media Production,"RTF 196P, 296P, 396P, 496P","1, 2, 3, 4",Graduate
Thesis,RTF 698,6,Graduate
