Coursename,Coursecode,Hours,Classification
Movement Laboratory II,T D 313N,3,Lower Division
Projects in Acting and Directing,"T D 113P, 213P, 313P","1, 2, 3",Lower Division
Design for Performance,T D 314C (TCCN: DRAM 1330),3,Lower Division
Technical Theatre,T D 314M (TCCN: DRAM 2331),3,Lower Division
Production Laboratory,T D 314P,3,Lower Division
Production Shop,T D 314Q,3,Lower Division
Playwriting I,T D 315,3,Lower Division
Foundations of Narrative Design,T D 315C,3,Lower Division
Directing I,T D 316D,3,Lower Division
Theatre History through the Eighteenth Century,T D 317C (TCCN: DRAM 2361),3,Lower Division
Theatre History since the Eighteenth Century,T D 317D (TCCN: DRAM 2362),3,Lower Division
Dance History I,T D 317M,3,Lower Division
Dance History II,T D 317N,3,Lower Division
Topics in Theatre and Dance,"T D 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Theatre and Dance,"T D 151T, 251T, 351T","1, 2, 3",Upper Division
Introduction to Creating New Media,T D 320J,3,Upper Division
Festival Project and Production,"T D 121P, 221P, 321P","1, 2, 3",Upper Division
Dance Pedagogy,T D 322,3,Upper Division
Contemporary Dance Technique,T D 322C,3,Upper Division
Intermediate Contemporary Dance Technique,T D 322D,3,Upper Division
Advanced Contemporary Dance Technique,T D 322E,3,Upper Division
Ballet Technique,T D 322F,3,Upper Division
Intermediate Ballet Technique,T D 322G,3,Upper Division
Advanced Ballet Technique,T D 322J,3,Upper Division
Projects in Dance Performance and Repertory,"T D 122P, 222P, 322P","1, 2, 3",Upper Division
Directing I,T D 323C,3,Upper Division
Directing II,T D 323D,3,Upper Division
Directing III,T D 323E,3,Upper Division
Acting Shakespeare,T D 323F,3,Upper Division
Acting in Period Plays,T D 323G,3,Upper Division
Advanced Projects in Acting and Directing,"T D 123P, 223P, 323P","1, 2, 3",Upper Division
Design and Technology for Performance,T D 324,3,Upper Division
Acting III,T D 324E,3,Upper Division
Advanced Production Laboratory,"T D 124P, 224P, 324P","1, 2, 3",Upper Division
Playwriting II,T D 325,3,Upper Division
Projects in Playwriting,"T D 125P, 225P, 325P","1, 2, 3",Upper Division
Dramatic Activities for the Classroom,T D 326,3,Upper Division
Theatre Studies: Creative Drama,T D 326C,3,Upper Division
Theatre Studies: Theatre for Young Audiences,T D 326D,3,Upper Division
Theatre Studies: Directing the Young Performer,"T D 326E, 626E","3, 6",Upper Division
Creative Drama II,T D 326F,3,Upper Division
Projects in Theatre Studies,"T D 126P, 226P, 326P","1, 2, 3",Upper Division
Directing Project in Theatre Studies,T D 326Q,3,Upper Division
"Projects in History, Criticism, and Performance Studies","T D 127P, 227P, 327P","1, 2, 3",Upper Division
Musical Theatre Performance Workshop,T D 329C,3,Upper Division
Studio Voice III,T D 129D,1,Upper Division
Studio Voice IV,T D 129E,1,Upper Division
Choreography,T D 332M,3,Upper Division
Choreography: Design for Dance and Movement Theatre,T D 332N,3,Upper Division
Advanced Projects in Dance Performance and Repertory I,"T D 232P, 332P","2, 3",Upper Division
Advanced Projects in Dance Performance and Repertory II,"T D 232Q, 332Q","2, 3",Upper Division
Dance Pedagogy,T D 332R,3,Upper Division
Dance Pedagogy Practicum,T D 332S,3,Upper Division
Advanced Techniques in Acting,T D 340D,3,Upper Division
Topics in Performance Lab,T D 350J,3,Upper Division
Teaching Artists in Schools and Community Settings,T D 351F,3,Upper Division
Seminar in Theatre and Dance,T D 351S,3,Upper Division
Experiential Anatomy,T D 352,3,Upper Division
Projects in Dance Movement Studies,"T D 152P, 252P, 352P","1, 2, 3",Upper Division
Topics in Dance and Movement,"T D 152T, 252T, 352T","1, 2, 3",Upper Division
Devised Work,T D 353C,3,Upper Division
Acting and the Camera I,T D 353D,3,Upper Division
Acting and the Camera II,T D 353E,3,Upper Division
Application for Rehearsal,T D 353G,3,Upper Division
Voice-Over and Narration,T D 353K,3,Upper Division
Portfolio Preparation,T D 353Q,3,Upper Division
Business of Acting,T D 353R,3,Upper Division
Topics in Acting and Directing,T D 353T,3,Upper Division
Foundations of Acting,T D 354F,3,Upper Division
Projects in Design and Technology,"T D 154P, 254P, 354P","1, 2, 3",Upper Division
Topics in Design and Technology,T D 354T,3,Upper Division
Playwriting III,T D 355,3,Upper Division
Topics in Playwriting,T D 355T,3,Upper Division
Topics in Theatre Studies,T D 356T,3,Upper Division
Dramaturgy,T D 357D,3,Upper Division
"Topics in History, Criticism, and Performance Studies",T D 357T,3,Upper Division
Industry Internship,"T D 372, 672, 972","3, 6, 9",Upper Division
Honors Seminar,T D 375H,3,Upper Division
Reading Tutorial in Theatre and Dance Problems,T D 376H,3,Upper Division
Thesis Course for Departmental Honors,T D 379H,3,Upper Division
Topics in Production Skills for Actors,T D 280G,2,Graduate
Performance Studio,T D 680M,6,Graduate
Topics in Acting,T D 380N,3,Graduate
Advanced Projects in Performance,"T D 180P, 280P, 380P","1, 2, 3",Graduate
Seminar in Directing Theory,T D 381D,3,Graduate
Topics in Directing Theory,T D 381E,3,Graduate
Topics in Advanced Acting and Directing,T D 381F,3,Graduate
Topics in Advanced Acting and Directing Laboratory,T D 481G,4,Graduate
Directing: Modern Drama,T D 381J,3,Graduate
Directing: Period Drama I,T D 381L,3,Graduate
Directing: Period Drama II,T D 381M,3,Graduate
Seminar in Secondary School Theatre Curriculum,T D 382K,3,Graduate
Topics in Theatre Outreach,T D 383M,3,Graduate
Theatre Outreach Practicum,"T D 183N, 283N, 383N","1, 2, 3",Graduate
Topics in Drama and Theatre for Youth,T D 383P,3,Graduate
Topics in Special Problems in Theatre and Dance,"T D 184, 284, 384","1, 2, 3",Graduate
Topics in Theatre History,T D 385C,3,Graduate
Topics in Dramaturgy,T D 385D,3,Graduate
Topics in Dance,T D 386,3,Graduate
"Topics in the History, Theory, and Criticism of Dance",T D 386C,3,Graduate
Dance Technique,"T D 186D, 286D, 386D, 486D","1, 2, 3, 4",Graduate
Topics in Performance Studies,T D 387D,3,Graduate
Topics in Dramatic Theory and Criticism,T D 387M,3,Graduate
Topics in Dramatic Form and Structure,T D 387N,3,Graduate
Playwriting Workshop,T D 387P,3,Graduate
Playwriting For Youth,T D 387R,3,Graduate
Research Methods and Resources,T D 388,3,Graduate
Topics in Advanced Design and Technology Studio,T D 388J,3,Graduate
Topics in Advanced Design and Technology Laboratory,T D 488K,4,Graduate
Advanced Topics in Design and Technology,T D 388L,3,Graduate
Advanced Projects in Design and Technology,"T D 188M, 288M, 388M","1, 2, 3",Graduate
Topics in Research and History for the Visual Theatre,T D 388R,3,Graduate
Professional Development Workshop,T D 390C,3,Graduate
Play Readings,T D 190K,1,Graduate
New Playwriting Studio,T D 390L,3,Graduate
New Works Projects,"T D 190M, 290M, 390M","1, 2, 3",Graduate
Topics in Performance as Public Practice,T D 391,3,Graduate
Graduate Internship in Theatre,"T D 392, 692, 992","3, 6, 9",Graduate
"Topics in Seminar in Theory, Criticism, and Analysis",T D 393,3,Graduate
"Topics in Readings in History, Theory, Criticism, and Performance Studies",T D 395,3,Graduate
Advanced Projects in Performance Studies,"T D 195P, 295P, 395P","1, 2, 3",Graduate
Thesis,T D 698,6,Graduate
Supervised Teaching in Theatre and Dance,T D 398T,3,Graduate
Dissertation,"T D 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 475
DegreeView
