Coursename,Coursecode,Hours,Classification
Continental Tectonics,GEO 382T,3,Graduate
Hydrogeophysics,GEO 382W,3,Graduate
Clastic Depositional Systems,GEO 383,3,Graduate
Topics in Geology and Hydrology,GEO 383C,3,Graduate
Numerical Methods I: Computational Methods in Geological Sciences,GEO 383D,3,Graduate
Digital Methods in Hydrogeology,GEO 383E,3,Graduate
Holocene-Pleistocene Sedimentology and Stratigraphic-Structural Evolution of the Caicos Platform,GEO 383F,3,Graduate
Geochemistry of Sedimentary Rocks,GEO 383G,3,Graduate
Paleoecology,GEO 383K,3,Graduate
Petrography of Sandstones,GEO 383L,3,Graduate
Petrology of Carbonates and Evaporites,GEO 383M,3,Graduate
Depositional Systems: Carbonates and Evaporites,GEO 383N,3,Graduate
Potential Field Applications in Geophysics,GEO 383P,3,Graduate
Reservoir Geology and Advanced Recovery,GEO 383R,3,Graduate
Sedimentary Basin Analysis,GEO 383S,3,Graduate
Tectonic and Climatic Interactions in Foreland Basins,GEO 383T,3,Graduate
Dynamic Field Stratigraphy,GEO 383U,3,Graduate
Seismology I,GEO 384C,3,Graduate
Physics of Earth,GEO 384D,3,Graduate
Seismic Migration and Inversion,GEO 384E,3,Graduate
Finite Element Methods in Geophysics,GEO 384F,3,Graduate
Subsurface Mapping and Petroleum Workstations,GEO 384G,3,Graduate
Multidimensional Data Analysis in Geosciences,GEO 384H,3,Graduate
Inverse Theory,GEO 384M,3,Graduate
Rock Physics,GEO 384N,3,Graduate
Geophysical Time Series Analysis,GEO 384R,3,Graduate
Seismic Data Processing,GEO 384S,3,Graduate
Seismic Lithology,GEO 384T,3,Graduate
Quantitative Seismic Interpretation,GEO 384U,3,Graduate
Seismic Imaging,GEO 384W,3,Graduate
Geophysics Colloquium,GEO 185G,1,Graduate
Geomorphology Process and Form,GEO 385Q,3,Graduate
Introduction to Remote Sensing for Geoscientists,GEO 485S,4,Graduate
Metamorphic Petrology,GEO 386,3,Graduate
Earth in Deep Time,GEO 386D,3,Graduate
Economic Geology,GEO 386E,3,Graduate
Geographic Information System and Global Positioning System Applications in Earth Sciences,GEO 386G,3,Graduate
Igneous Petrology,GEO 386K,3,Graduate
Geology of Earth Resources,GEO 386R,3,Graduate
Ins and Outs of Subduction Zones,GEO 386S,3,Graduate
Topics in Volcanology,GEO 386T,3,Graduate
Aqueous Geochemistry,GEO 387C,3,Graduate
Climate Dynamics,GEO 387D,3,Graduate
Environmental Organic Geochemistry,GEO 387E,3,Graduate
Climate System Modeling,GEO 387G,3,Graduate
Physical Climatology,GEO 387H,3,Graduate
Climate System Physics,GEO 387P,3,Graduate
Global Biogeochemical Cycles,GEO 388G,3,Graduate
Environmental Isotope Geochemistry,GEO 388H,3,Graduate
Isotope Geology,GEO 388L,3,Graduate
Paleontological Laboratory Techniques,GEO 388P,3,Graduate
Radiogenic Isotopes and Tectonic Processes,GEO 388R,3,Graduate
High-Temperature Geochemistry,GEO 388T,3,Graduate
Evolution of Reef Ecosystems,GEO 389E,3,Graduate
Transitions in the History of Life,GEO 397L,3,Graduate
Paleontologic Nomenclature and Techniques,GEO 389K,3,Graduate
Vertebrate Paleontology: Mammals,GEO 389M,3,Graduate
Digital Methods in Morphology,GEO 389P,3,Graduate
Morphology of the Vertebrate Skeleton,GEO 389R,3,Graduate
Systematics and Paleontology,GEO 389S,3,Graduate
Vertebrate Paleontology,GEO 389V,3,Graduate
Seismology III,GEO 390D,3,Graduate
Ecohydrology and Biometeorology,GEO 390E,3,Graduate
Thermodynamics of Geologic Processes,GEO 390M,3,Graduate
Analytical Methods: Electron-Microbeam Techniques,GEO 390R,3,Graduate
Tectonic Problems,GEO 390T,3,Graduate
Topics in Geological Sciences: Seminar,"GEO 191, 291, 391, 491, 591, 791, 891, 991","1, 2, 3, 4, 5, 7, 8, 9",Graduate
Physical Hydrogeology,GEO 391C,3,Graduate
Regional Tectonics,GEO 391D,3,Graduate
Applied Karst Hydrogeology,GEO 391K,3,Graduate
Topics in Quaternary Geology,GEO 391Q,3,Graduate
Current Topics in Paleobiology,GEO 391S,3,Graduate
Aquifer Testing,GEO 191W,1,Graduate
Fundamentals and Applications of ICP-MS,GEO 392F,3,Graduate
Modern Geological Sciences,GEO 392M,3,Graduate
Python for Geoscience Research,GEO 392P,3,Graduate
Geochemical Problem Solving with Ions & Atoms,GEO 392S,3,Graduate
Technical Lecture Series,GEO 193,1,Graduate
3D Analysis of Volumetric Data,GEO 393D,3,Graduate
Topics in Research in Geological Sciences,"GEO 194, 294, 394, 494, 594, 694, 794, 894, 994","1, 2, 3, 4, 5, 6, 7, 8, 9",Graduate
