Coursename,Coursecode,Hours,Classification
Geographies of Globalization,GRG 350K,3,Upper Division
Geo-Archaeology and Environmental History,GRG 356C,3,Upper Division
Water Resources in Latin America and the Caribbean,GRG 356D,3,Upper Division
Medical Geography,GRG 357,3,Upper Division
Geography and Religion,GRG 358E,3,Upper Division
Environmental Geographic Information Systems,GRG 460G,4,Upper Division
Introduction to Remote Sensing of the Environment,GRG 462K,4,Upper Division
Advanced Remote Sensing and Pattern Analysis,GRG 464K,4,Upper Division
Comparative Ecosystems,GRG 366C,3,Upper Division
Biogeography,GRG 366K,3,Upper Division
Climate Change and Vegetation Response in the Kalahari,GRG 367D,3,Upper Division
Vegetation Ecology,GRG 367K,3,Upper Division
Spatial Analysis and Geographic Information Systems,GRG 368C,3,Upper Division
Enviro-Cultural Dynamics in Botswana,GRG 368D,3,Upper Division
GIS Applications in Social and Environmental Science,GRG 369D,3,Upper Division
Advanced Geographic Information Systems,GRG 470C,4,Upper Division
Spatial Reasoning with Geographic Information Systems,GRG 370D,3,Upper Division
Field Techniques,GRG 373F,3,Upper Division
Field Methods for Landscape Characterization,GRG 373K,3,Upper Division
Frontiers in Geography,GRG 374,3,Upper Division
Honors Tutorial Course,GRG 679H,6,Upper Division
Conference Course,GRG 379K,3,Upper Division
Practicum: Internships in Applied Geography,GRG 379L,3,Upper Division
Field Course in Geography,GRG 380,3,Graduate
"Myth, Ritual, Place, and Environment",GRG 380C,3,Graduate
Environment and Health in Latin America,GRG 380D,3,Graduate
Geomorphology of the Southwest,GRG 380E,3,Graduate
Field Techniques in Sediments and Soils,GRG 380F,3,Graduate
Topics in Seminar in Historical Geography,GRG 381,3,Graduate
Mapping the Middle East,GRG 381C,3,Graduate
Soil Geomorphology,GRG 381D,3,Graduate
Geo-Archaeology and Environmental History,GRG 382K,3,Graduate
Topics in Seminar in Environment and Development,GRG 383C,3,Graduate
Long-Term Climate Change and History,GRG 383F,3,Graduate
Watershed Systems and Environmental Management,GRG 384C,3,Graduate
Topics in Seminar in Regional Geography,GRG 385,3,Graduate
Quaternary Landscapes,GRG 385C,3,Graduate
Wetlands: Earth System Science and History,GRG 385H,3,Graduate
Topics in Seminar in Quaternary Studies,GRG 386C,3,Graduate
Political Ecology,GRG 387C,3,Graduate
"Globalization, Conflict, and Resistance",GRG 387D,3,Graduate
Geoarchaeology of Mesoamerica,GRG 387K,3,Graduate
Seminar in Resources and Conservation,GRG 388,3,Graduate
"Indigenous Maps, Architecture, and Enculturation of Colonial Mexico",GRG 388C,3,Graduate
Forest Hydrology,GRG 388R,3,Graduate
Hydrogeomorphology,GRG 389P,3,Graduate
Cultural and Humanistic Geography,GRG 390,3,Graduate
"Landscape, Meaning, and Society",GRG 390C,3,Graduate
Issues in Geography,GRG 390K,3,Graduate
Research in Geography,GRG 390L,3,Graduate
"Environment, Development, and Food Production",GRG 390S,3,Graduate
